Reevaluate after: 14708 steps, with return 64.96967682220914
Reevaluate after: 14759 steps, with return 64.5665516522691
Reevaluate after: 14810 steps, with return 64.46993023383888
Reevaluate after: 14861 steps, with return 64.16459826767536
Reevaluate after: 14912 steps, with return 64.28505399842211
Reevaluate after: 14963 steps, with return 64.96335106059004
Reevaluate after: 15014 steps, with return 64.63856146564541
Reevaluate after: 15065 steps, with return 64.21125873369233
Reevaluate after: 15116 steps, with return 64.4218043097768
Reevaluate after: 15167 steps, with return 64.38841387709043
Reevaluate after: 15218 steps, with return 64.16000142374332
Reevaluate after: 15269 steps, with return 64.17332861761354
Reevaluate after: 15320 steps, with return 64.01169173450684
Reevaluate after: 15371 steps, with return 64.40051541329169
Reevaluate after: 15422 steps, with return 64.55728506300869
Reevaluate after: 15473 steps, with return 64.35764534509858
Reevaluate after: 15524 steps, with return 63.74571841946895
Reevaluate after: 15575 steps, with return 64.04517340883459
Reevaluate after: 15626 steps, with return 63.87937650332636
Reevaluate after: 15677 steps, with return 64.03809157841427
Reevaluate after: 15728 steps, with return 64.2702470244813
Reevaluate after: 15779 steps, with return 64.78217627170193
Reevaluate after: 15830 steps, with return 64.85055829933833
Reevaluate after: 15881 steps, with return 64.23599918599673
Reevaluate after: 15932 steps, with return 63.03860988739863
Reevaluate after: 15983 steps, with return 63.87671385394244
Reevaluate after: 16034 steps, with return 63.56445469520511
Reevaluate after: 16085 steps, with return 64.0558790682757
Reevaluate after: 16136 steps, with return 64.03475045045914
Reevaluate after: 16187 steps, with return 64.67661174062644
Reevaluate after: 16238 steps, with return 64.37529379216515
Reevaluate after: 16289 steps, with return 64.6933007010903
Reevaluate after: 16340 steps, with return 64.72202581586853
Reevaluate after: 16391 steps, with return 63.37732854075989
Reevaluate after: 16442 steps, with return 64.51499204020308
Reevaluate after: 16493 steps, with return 63.600578244327075
Reevaluate after: 16544 steps, with return 64.30882143276727
Reevaluate after: 16595 steps, with return 64.33297473909083
Reevaluate after: 16646 steps, with return 64.35897059730192
Reevaluate after: 16697 steps, with return 63.995890126874805
Reevaluate after: 16748 steps, with return 64.54153742867827
Reevaluate after: 16799 steps, with return 63.22535541808257
Improvement after: 16835 steps, with return 66.56383337933076, Elapsed: 12753.411199
Reevaluate after: 16886 steps, with return 65.9121281323216
Reevaluate after: 16937 steps, with return 66.58551367406751
Reevaluate after: 16988 steps, with return 65.85877646893971
Reevaluate after: 17039 steps, with return 66.50079525832322
Reevaluate after: 17090 steps, with return 66.52955738088421
Reevaluate after: 17141 steps, with return 66.92693385265926
Reevaluate after: 17192 steps, with return 65.97957519500537
Reevaluate after: 17243 steps, with return 64.81806686633713
Reevaluate after: 17294 steps, with return 65.67204554602351
Reevaluate after: 17345 steps, with return 65.91048822920058
Reevaluate after: 17396 steps, with return 66.362308186032
Reevaluate after: 17447 steps, with return 67.07367895041484
Reevaluate after: 17498 steps, with return 64.23182830853327
Reevaluate after: 17549 steps, with return 64.06476123679019
Reevaluate after: 17600 steps, with return 65.94634881393006
Reevaluate after: 17651 steps, with return 65.51285927628649
Reevaluate after: 17702 steps, with return 64.23067707778671
Reevaluate after: 17753 steps, with return 66.94969557444885
Reevaluate after: 17804 steps, with return 63.81924361544359
Reevaluate after: 17855 steps, with return 67.18569531132621
Reevaluate after: 17906 steps, with return 64.41131715116019
Improvement after: 17929 steps, with return 64.51772420720921, Elapsed: 13631.948962
Reevaluate after: 17980 steps, with return 65.88341455069323
Reevaluate after: 18031 steps, with return 65.13259713194758
Reevaluate after: 18082 steps, with return 66.82692336918389
Reevaluate after: 18133 steps, with return 65.8668079281509
Reevaluate after: 18184 steps, with return 65.56782068026715
Reevaluate after: 18235 steps, with return 66.41821805235675
Reevaluate after: 18286 steps, with return 65.5654661222439
Reevaluate after: 18337 steps, with return 67.42419769634328
Reevaluate after: 18388 steps, with return 62.916835609555235
Reevaluate after: 18439 steps, with return 65.70907282237253
Reevaluate after: 18490 steps, with return 65.9365962306167
Reevaluate after: 18541 steps, with return 66.5031369146362
