0;1;2;3;4;5;6;7;8;9;10;
-70.0905;1422.14;-64.5321;-72.5812;-61.5295;-50.5311;-70.1684;-62.945;-73.8269;-62.4493;-48.8119;
-70.0905;322.482;-71.6151;-72.5002;-69.0417;-54.4535;-70.1684;-65.8971;-78.412;-66.259;-53.1259;
-70.0905;-69.8801;-25.3117;859.143;-41.4593;-41.2337;1945.67;-70.6077;-68.6731;-52.0475;-46.4309;
-69.9552;-69.8801;-16.7143;1356.26;-42.2459;-40.7315;3226.35;-70.6389;-58.3338;-50.928;-38.3837;
-70.0905;1098.29;-45.7294;-74.1017;-55.6141;-42.629;-70.1684;-66.7781;-64.7283;-51.4744;-39.6148;
-70.0905;1498.62;-64.1276;-72.5549;-60.5535;-50.3109;-70.1684;-64.4471;-73.5741;-62.2158;-48.7162;
-70.0905;212.773;-71.4785;-72.5132;-69.3698;-54.3298;-70.1684;-68.1924;-78.2879;-66.1509;-53.0788;
-69.2176;-69.8801;-25.3322;749.55;-41.4721;-41.2247;1708.77;-70.6389;-68.6414;-52.0326;-46.4149;
-70.0905;-69.8801;-16.7172;1076.06;-42.2857;-40.7355;2579.3;-70.4141;-58.336;-50.9324;-38.3811;
-70.0905;924.862;-46.6626;-74.0916;-57.356;-43.251;-70.1684;-66.6188;-65.3491;-52.3138;-39.8378;
-70.0905;1216.26;-65.0933;-72.605;-62.6534;-50.8182;-70.1684;-64.7972;-74.2013;-62.754;-48.9501;
-70.0905;144.689;-72.0593;-72.513;-70.0253;-54.7093;-70.1684;-68.5579;-78.6674;-66.4584;-53.1953;
-69.9998;-69.8801;-25.4246;782.603;-41.4537;-41.2531;1777.29;-70.6389;-68.9089;-52.0838;-46.5315;
-70.0905;-69.8801;-16.7613;928.729;-42.5309;-40.7497;2237.21;-68.8304;-58.625;-50.9505;-38.4096;
